Mešani: grobar                    Moski average: 0.8790    Zenski average: 0.8308     Razlika: 0.0482
Skupno: grobar                    Moski average: 0.8865    Zenski average: 0.8747     Razlika: 0.0118
Normalni: hišnik                    Moski average: 0.8866    Zenski average: 0.8811     Razlika: 0.0055
Mešani: hišnik                    Moski average: 0.8706    Zenski average: 0.8524     Razlika: 0.0182
Skupno: hišnik                    Moski average: 0.8786    Zenski average: 0.8758     Razlika: 0.0028
Normalni: hmeljar                   Moski average: 0.9220    Zenski average: 0.9305     Razlika: -0.0085
Mešani: hmeljar                   Moski average: 0.9158    Zenski average: 0.8870     Razlika: 0.0288
Skupno: hmeljar                   Moski average: 0.9189    Zenski average: 0.9231     Razlika: -0.0043
Normalni: igralec                   Moski average: 0.8752    Zenski average: 0.8863     Razlika: -0.0111
Mešani: igralec                   Moski average: 0.8599    Zenski average: 0.8519     Razlika: 0.0080
Skupno: igralec                   Moski average: 0.8676    Zenski average: 0.8731     Razlika: -0.0055
Normalni: ilustrator                Moski average: 0.9155    Zenski average: 0.9166     Razlika: -0.0011
Mešani: ilustrator                Moski average: 0.9038    Zenski average: 0.8789     Razlika: 0.0250
Skupno: ilustrator                Moski average: 0.9096    Zenski average: 0.9102     Razlika: -0.0006
Normalni: iluzionist                Moski average: 0.9178    Zenski average: 0.9200     Razlika: -0.0022
Mešani: iluzionist                Moski average: 0.9200    Zenski average: 0.8967     Razlika: 0.0233
Skupno: iluzionist                Moski average: 0.9189    Zenski average: 0.9200     Razlika: -0.0011
Normalni: imitator                  Moski average: 0.9363    Zenski average: 0.9276     Razlika: 0.0087
Mešani: imitator                  Moski average: 0.9186    Zenski average: 0.9175     Razlika: 0.0011
Skupno: imitator                  Moski average: 0.9274    Zenski average: 0.9231     Razlika: 0.0044
Normalni: informator                Moski average: 0.9081    Zenski average: 0.9232     Razlika: -0.0151
Mešani: informator                Moski average: 0.9105    Zenski average: 0.8935     Razlika: 0.0170
Skupno: informator                Moski average: 0.9093    Zenski average: 0.9169     Razlika: -0.0076
